branch,round,cumulative_training_frames,external_overall_rmse_px,external_pupil_center_rmse_px,external_pupil_width_mae_px,points_likelihood_ge_0_6,evaluated_label,recorded_at,median_frame_rmse_px
uncertain,0,80,17.70186296071333,10.779559325458049,19.233041264857608,552,al_r0_baseline,2026-09-12T09:16:46,16.945102071733423
jump,0,80,17.70186296071333,10.779559325458049,19.233041264857608,552,al_r0_baseline,2026-09-12T09:16:46,16.945102071733423
fitting,0,80,17.70186296071333,10.779559325458049,19.233041264857608,552,al_r0_baseline,2026-09-12T09:16:46,16.945102071733423
uncertain,1,100,20.305159990800192,11.6057544401529,17.852619352085682,698,al_uncertain_r1,2026-09-12T09:32:53,17.537461570752427
jump,1,100,17.49777036191333,10.861115169052384,14.694738039710982,706,al_jump_r1,2026-09-12T10:05:55,16.3230547926851
fitting,1,100,18.481625872267823,9.713991007292538,24.52922464231995,632,al_fitting_r1,2026-09-12T10:38:35,17.415648847585594
uncertain,2,120,48.27240166210908,20.980965265069763,14.719801903660231,495,al_uncertain_r2,2026-09-12T11:27:09,17.328922473539826
jump,2,120,22.132180270428375,9.487446516515805,16.443987584319203,394,al_jump_r2,2026-09-12T12:03:29,16.35003135621568
fitting,2,120,22.092824866851466,12.908197328501,26.05449639166581,368,al_fitting_r2,2026-09-12T12:39:00,17.209862371881858
uncertain,3,140,44.35663424897656,23.99954300379756,18.71010384669647,742,al_uncertain_r3,2026-09-12T13:24:13,16.621358932385583
jump,3,140,18.54993883897188,10.218122447837272,15.044315825413303,559,al_jump_r3,2026-09-12T14:02:54,17.277730104113125
fitting,3,140,19.352241368412272,9.911847353167182,16.690910158603383,649,al_fitting_r3,2026-09-12T14:41:03,17.165111022792452
uncertain,4,160,21.64596491943812,11.128765800084189,18.18338563584784,707,al_uncertain_r4,2026-09-12T15:47:14,17.21124404854335
jump,4,160,17.525878643700707,10.378416543632136,15.443883385955338,746,al_jump_r4,2026-09-12T16:29:47,16.86029868874738
fitting,4,160,19.85312307152712,9.512546963524976,18.81013688350523,522,al_fitting_r4,2026-09-12T17:10:55,16.9318688206766
uncertain,5,180,21.76566936544714,12.08284762881717,15.205007987453442,763,al_uncertain_r5,2026-09-12T18:05:12,17.332834292229705
jump,5,180,20.60152253150223,10.643865757646664,15.321255710982696,734,al_jump_r5,2026-09-12T18:50:26,16.258885729417024
fitting,5,180,18.364780918425843,10.44840065683247,20.504574482470343,637,al_fitting_r5,2026-09-12T19:34:14,17.281212112147607
uncertain,6,200,19.89394607315755,10.429269721281962,17.277500659739207,788,al_uncertain_r6,2026-09-12T23:51:09,15.18
jump,6,200,17.45547821755082,10.199300024365312,16.854500746946123,777,al_jump_r6,2026-09-13T00:38:11,14.13
fitting,6,200,17.666303973616998,10.153618054836492,18.193298547082524,672,al_fitting_r6,2026-09-13T01:25:02,15.17
uncertain,7,220,18.032701512261408,9.995150008144126,16.73920708664653,706,al_uncertain_r7,2026-09-13T11:45:46,15.14
jump,7,220,17.416474900278452,10.20227893355589,15.90975793458908,778,al_jump_r7,2026-09-13T12:38:33,14.24
fitting,7,220,17.318733374880072,10.24073585043402,21.095532754227797,694,al_fitting_r7,2026-09-13T13:30:09,14.38
uncertain,8,240,17.980870400043333,10.03280125383775,17.018792983506987,800,al_uncertain_r8,2026-09-13T14:47:19,15.14
jump,8,240,16.79426340291305,9.356378181906528,15.025855731393584,722,al_jump_r8,2026-09-13T15:40:55,13.97
fitting,8,240,17.594083571979155,10.043972894030048,19.126143102749328,764,al_fitting_r8,2026-09-13T18:54:20,15.43
