label,arm,pluto_training_frames,median_frame_rmse_px,median_frame_mean_abs_px,overall_rmse_px,frac_points_conf_ge_0.6,n_test_frames,n_test_points,snapshot_rule,p90_frame_rmse_px,frac_frames_rmse_gt_50px
x000_production_v1,unadapted,0,185.18,100.37,185.83,0.426,59,439,n/a (pretrained production model),249.81,0.881
x020_step01_scratch,scratch,20,12.08,9.86,38.21,0.747,59,439,best validation mAP -> epoch 70,90.03,0.119
x040_step02_scratch,scratch,40,101.74,43.54,102.09,0.285,59,439,best validation mAP -> epoch 20 (undertrained; pupil_left fails on 53% of test frames),147.71,0.542
x020_step01_final,scratch,20,13.83,,42.0,0.62,59,439,final snapshot (epoch 100),44.6,0.102
x040_step02_final,scratch,40,12.04,,48.86,0.7,59,439,final snapshot (epoch 100),27.58,0.085
x060_step03_scratch,scratch,60,12.53,10.68,67.36,0.633,59,439,best validation mAP (best-30),127.4,0.22
x060_step03_final,scratch,60,10.41,9.48,44.19,0.831,59,439,final snapshot (100),97.56,0.136
x080_step04_final,seed42,80,10.12,8.87,29.92,0.913,59,439,final snapshot (100),28.18,0.051
x080_step04_mAP80plus,seed42,80,10.12,8.87,29.92,0.913,59,439,best validation mAP among epochs >= 80 (100),28.18,0.051
x020_step01_mAP80plus,seed42,20,15.02,11.05,38.59,0.595,59,439,best validation mAP among epochs >= 80 (90),32.43,0.068
x040_step02_mAP80plus,seed42,40,14.22,11.26,64.34,0.727,59,439,best validation mAP among epochs >= 80 (80),120.8,0.237
x060_step03_mAP80plus,seed42,60,9.96,8.55,26.72,0.87,59,439,best validation mAP among epochs >= 80 (90),24.49,0.034
x080_step04_mAPall,seed42,80,10.56,9.04,34.11,0.902,59,439,best validation mAP -> epoch 50 (best-50),31.4,0.068
x020_step01_final_seed43,seed43,20,11.67,10.45,28.5,0.859,59,439,final snapshot (100),26.32,0.034
x020_step01_mAP80plus_seed43,seed43,20,11.67,10.45,28.5,0.859,59,439,best validation mAP among epochs >= 80 (100),26.32,0.034
x040_step02_final_seed43,seed43,40,11.79,10.0,44.1,0.754,59,439,final snapshot (100),93.47,0.119
x040_step02_mAP80plus_seed43,seed43,40,11.83,9.75,40.8,0.825,59,439,best validation mAP among epochs >= 80 (90),31.16,0.085
x060_step03_final_seed43,seed43,60,10.53,9.12,61.04,0.822,59,439,final snapshot (100),46.33,0.102
x060_step03_mAP80plus_seed43,seed43,60,10.32,8.92,47.88,0.813,59,439,best validation mAP among epochs >= 80 (90),25.6,0.051
