shuffle,test_unit,model_idx,model_unit,mouse,date,step,labels_this_video,total_labels,median_frame_rmse_px,p90_frame_rmse_px,frac_frames_rmse_gt_50px,frac_points_conf_ge_0.6,median_pupil_top_px,median_pupil_bottom_px,median_pupil_left_px,median_pupil_right_px,median_eyelid_top_px,median_eyelid_bottom_px,median_eye_nasal_corner_px,median_eye_temporal_corner_px
111,0_first5minvedio,0.0,0_first5minvedio,mouse A,5-min recording,1.0,20.0,20.0,12.93,23.94,0.04,0.689,12.51,4.85,4.56,5.1,13.04,5.04,18.7,12.57
111,1_20251031_Pluto_spont_1,0.0,0_first5minvedio,mouse A,5-min recording,1.0,20.0,20.0,301.52,364.2,1.0,0.02,330.37,13.95,324.75,19.94,333.97,6.96,24.29,458.05
111,2_20251031_pluton2,0.0,0_first5minvedio,mouse A,5-min recording,1.0,20.0,20.0,195.75,267.63,0.9,0.33,140.31,26.66,235.89,14.65,132.49,2.2,21.93,33.65
111,3_20251031_pluto3,0.0,0_first5minvedio,mouse A,5-min recording,1.0,20.0,20.0,290.93,352.81,1.0,0.02,43.95,23.45,325.92,70.23,38.98,438.8,33.06,466.58
112,0_first5minvedio,1.0,0_first5minvedio,mouse A,5-min recording,2.0,40.0,40.0,13.0,18.64,0.02,0.81,12.28,4.65,7.91,4.57,12.48,5.13,16.44,11.67
112,1_20251031_Pluto_spont_1,1.0,0_first5minvedio,mouse A,5-min recording,2.0,40.0,40.0,222.84,262.95,1.0,0.147,317.27,3.98,445.1,8.71,231.39,8.41,23.73,61.93
112,2_20251031_pluton2,1.0,0_first5minvedio,mouse A,5-min recording,2.0,40.0,40.0,197.2,247.94,1.0,0.34,313.38,27.15,324.92,13.0,277.61,2.17,22.19,29.08
112,3_20251031_pluto3,1.0,0_first5minvedio,mouse A,5-min recording,2.0,40.0,40.0,178.11,260.71,0.92,0.058,45.36,12.58,327.24,9.02,108.04,7.12,50.42,28.0
113,0_first5minvedio,2.0,0_first5minvedio,mouse A,5-min recording,3.0,60.0,60.0,12.04,17.01,0.0,0.892,11.77,4.49,8.06,4.44,11.69,5.23,18.02,10.4
113,1_20251031_Pluto_spont_1,2.0,0_first5minvedio,mouse A,5-min recording,3.0,60.0,60.0,242.4,318.22,1.0,0.297,344.72,3.31,444.86,6.28,347.2,4.65,14.43,138.62
113,2_20251031_pluton2,2.0,0_first5minvedio,mouse A,5-min recording,3.0,60.0,60.0,215.75,311.67,0.98,0.38,318.96,26.3,241.79,12.75,256.52,1.92,36.4,25.19
113,3_20251031_pluto3,2.0,0_first5minvedio,mouse A,5-min recording,3.0,60.0,60.0,230.01,283.71,1.0,0.296,196.07,10.72,312.56,4.64,297.68,5.94,29.35,434.25
114,0_first5minvedio,3.0,0_first5minvedio,mouse A,5-min recording,4.0,80.0,80.0,13.07,19.25,0.02,0.895,12.6,4.53,8.82,5.32,11.45,5.18,16.48,12.08
114,1_20251031_Pluto_spont_1,3.0,0_first5minvedio,mouse A,5-min recording,4.0,80.0,80.0,186.65,290.79,0.94,0.152,235.38,4.13,75.54,4.14,196.62,7.75,48.81,21.22
114,2_20251031_pluton2,3.0,0_first5minvedio,mouse A,5-min recording,4.0,80.0,80.0,198.17,303.46,0.92,0.353,257.93,26.64,246.47,11.77,250.51,1.86,49.8,124.86
114,3_20251031_pluto3,3.0,0_first5minvedio,mouse A,5-min recording,4.0,80.0,80.0,263.08,353.85,0.98,0.121,243.03,19.98,379.17,4.58,240.27,7.94,65.6,475.4
115,0_first5minvedio,4.0,0_first5minvedio,mouse A,5-min recording,5.0,100.0,100.0,12.29,17.8,0.0,0.932,12.05,4.16,8.97,4.58,11.13,5.3,17.46,10.74
