video,variant,n,median_abs_rel_err_pct,p90_abs_rel_err_pct,median_signed_err_pct,median_abs_rel_err_vs_same_rule_on_human_pct,note
0_first5minvedio,current,49,6.5,12.3,6.4,3.5,
0_first5minvedio,4pt,49,2.2,5.8,0.5,2.2,
0_first5minvedio,drop_B,49,5.9,10.7,-5.9,4.2,
0_first5minvedio,drop_L,49,3.1,6.8,-0.0,3.7,
0_first5minvedio,drop_R,49,4.4,9.1,0.1,4.5,
0_first5minvedio,prior,49,6.5,12.3,6.4,,prior drops pupil_top
0_first5minvedio,conf,49,5.4,11.7,5.2,,
0_first5minvedio,oracle,49,1.4,3.0,0.1,,
1_20251031_Pluto_spont_1,current,50,6.7,23.4,0.1,6.0,
1_20251031_Pluto_spont_1,4pt,50,6.2,22.5,4.1,6.2,
1_20251031_Pluto_spont_1,drop_B,50,12.4,30.9,9.1,11.0,
1_20251031_Pluto_spont_1,drop_L,50,8.5,22.8,-0.6,6.6,
1_20251031_Pluto_spont_1,drop_R,50,15.8,35.6,11.7,15.7,
1_20251031_Pluto_spont_1,prior,50,6.7,23.4,0.1,,prior drops pupil_top
1_20251031_Pluto_spont_1,conf,50,7.1,25.5,0.3,,
1_20251031_Pluto_spont_1,oracle,50,2.8,12.7,0.7,,
2_pluton2,current,49,3.1,9.8,-0.5,1.9,
2_pluton2,4pt,49,4.4,7.9,-3.2,4.4,
2_pluton2,drop_B,49,7.7,11.9,-7.3,7.4,
2_pluton2,drop_L,49,11.4,23.8,-11.4,4.9,
2_pluton2,drop_R,49,5.5,15.5,5.1,3.1,
2_pluton2,prior,49,3.1,9.8,-0.5,,prior drops pupil_top
2_pluton2,conf,49,4.5,18.0,-2.7,,
2_pluton2,oracle,49,1.3,4.5,-0.6,,
3_pluto3,current,48,12.8,21.7,-10.5,4.1,
3_pluto3,4pt,48,3.2,15.1,3.1,3.2,
3_pluto3,drop_B,48,19.3,30.8,19.3,2.8,
3_pluto3,drop_L,48,27.4,34.0,27.4,6.8,
3_pluto3,drop_R,48,22.8,34.1,-20.8,4.3,
3_pluto3,prior,48,12.8,21.7,-10.5,,prior drops pupil_top
3_pluto3,conf,48,25.5,33.7,25.5,,
3_pluto3,oracle,48,11.6,20.9,-8.5,,
all four videos pooled,current,196,6.9,17.9,0.1,,
all four videos pooled,4pt,196,3.7,15.1,0.8,,
all four videos pooled,drop_B,196,9.1,24.3,0.6,,
all four videos pooled,drop_L,196,10.4,29.0,0.4,,
all four videos pooled,drop_R,196,10.8,30.8,1.1,,
all four videos pooled,prior,196,6.9,17.9,0.1,,
all four videos pooled,conf,196,7.9,28.5,3.6,,
all four videos pooled,oracle,196,2.5,14.7,-0.5,,
