branch,round,cumulative_training_frames,evaluated_label,final_snapshot,mAP_best_snapshot,external_overall_rmse_px,median_frame_rmse_px,median_frame_mean_abs_px,p90_frame_rmse_px,frac_frames_rmse_gt_50px,points_likelihood_ge_0_6
uncertain,0,80,al_r0_baseline,snapshot-100.pt,snapshot-best-090.pt,17.71,16.77,14.88,22.54,0.0,569
jump,0,80,al_r0_baseline,snapshot-100.pt,snapshot-best-090.pt,17.71,16.77,14.88,22.54,0.0,569
fitting,0,80,al_r0_baseline,snapshot-100.pt,snapshot-best-090.pt,17.71,16.77,14.88,22.54,0.0,569
uncertain,1,100,al_uncertain_r1,snapshot-best-100.pt,snapshot-best-100.pt,20.31,17.54,15.47,24.87,0.01,698
jump,1,100,al_jump_r1,snapshot-100.pt,snapshot-best-090.pt,18.01,16.71,14.7,23.03,0.0,730
fitting,1,100,al_fitting_r1,snapshot-100.pt,snapshot-best-070.pt,17.56,16.52,14.48,22.19,0.0,647
uncertain,2,120,al_uncertain_r2,snapshot-100.pt,snapshot-best-030.pt,18.63,17.06,15.3,25.35,0.0,787
jump,2,120,al_jump_r2,snapshot-100.pt,snapshot-best-030.pt,17.45,16.25,14.39,22.85,0.0,766
fitting,2,120,al_fitting_r2,snapshot-100.pt,snapshot-best-030.pt,17.85,17.41,15.25,22.37,0.0,554
uncertain,3,140,al_uncertain_r3,snapshot-100.pt,snapshot-best-050.pt,18.07,16.71,14.77,23.29,0.0,773
jump,3,140,al_jump_r3,snapshot-100.pt,snapshot-best-030.pt,16.96,15.81,14.0,22.24,0.0,763
fitting,3,140,al_fitting_r3,snapshot-100.pt,snapshot-best-030.pt,17.22,16.88,14.94,21.26,0.0,748
uncertain,4,160,al_uncertain_r4,snapshot-100.pt,snapshot-best-070.pt,21.22,16.8,15.2,23.24,0.01,786
jump,4,160,al_jump_r4,snapshot-100.pt,snapshot-best-090.pt,17.46,16.5,14.41,22.75,0.0,735
fitting,4,160,al_fitting_r4,snapshot-100.pt,snapshot-best-050.pt,21.59,17.15,15.49,21.95,0.02,693
uncertain,5,180,al_uncertain_r5,snapshot-100.pt,snapshot-best-040.pt,17.71,16.39,15.05,22.97,0.0,792
jump,5,180,al_jump_r5,snapshot-100.pt,snapshot-best-070.pt,17.27,16.42,14.08,22.04,0.0,775
fitting,5,180,al_fitting_r5,snapshot-100.pt,snapshot-best-070.pt,17.57,16.89,14.77,22.63,0.0,778
uncertain,6,200,al_uncertain_r6,snapshot-100.pt,snapshot-best-090.pt,17.98,16.57,14.99,23.9,0.0,787
jump,6,200,al_jump_r6,snapshot-best-100.pt,snapshot-best-100.pt,17.46,16.33,14.13,22.15,0.0,777
fitting,6,200,al_fitting_r6,snapshot-100.pt,snapshot-best-050.pt,17.95,17.2,15.23,22.9,0.0,774
uncertain,7,220,al_uncertain_r7,snapshot-100.pt,snapshot-best-030.pt,17.94,16.57,14.59,23.85,0.0,791
jump,7,220,al_jump_r7,snapshot-100.pt,snapshot-best-090.pt,17.12,15.88,13.82,22.67,0.0,765
fitting,7,220,al_fitting_r7,snapshot-100.pt,snapshot-best-070.pt,17.55,17.08,14.78,22.12,0.0,765
uncertain,8,240,al_uncertain_r8,snapshot-100.pt,snapshot-best-090.pt,17.88,16.56,14.91,23.59,0.0,800
jump,8,240,al_jump_r8,snapshot-100.pt,snapshot-best-070.pt,17.64,16.41,14.37,22.75,0.0,740
fitting,8,240,al_fitting_r8,snapshot-100.pt,snapshot-best-090.pt,17.88,17.5,15.33,22.57,0.0,764
uncertain,9,260,al_uncertain_r9,snapshot-best-100.pt,snapshot-best-100.pt,17.92,16.54,14.83,23.7,0.0,798
jump,9,260,al_jump_r9,snapshot-best-100.pt,snapshot-best-100.pt,17.71,17.01,14.69,22.55,0.0,761
fitting,9,260,al_fitting_r9,snapshot-100.pt,snapshot-best-060.pt,17.45,16.85,14.73,22.19,0.0,772
uncertain,10,280,al_uncertain_r10,snapshot-best-100.pt,snapshot-best-100.pt,17.99,16.91,14.8,23.59,0.0,800
jump,10,280,al_jump_r10,snapshot-100.pt,snapshot-best-050.pt,17.63,16.5,14.42,22.58,0.0,743
fitting,10,280,al_fitting_r10,snapshot-best-100.pt,snapshot-best-100.pt,17.8,16.87,14.96,23.47,0.0,789
uncertain,11,300,al_uncertain_r11,snapshot-100.pt,snapshot-best-070.pt,17.85,16.62,14.53,23.43,0.0,797
jump,11,300,al_jump_r11,snapshot-best-100.pt,snapshot-best-100.pt,17.79,16.6,14.6,22.88,0.0,766
fitting,11,300,al_fitting_r11,snapshot-100.pt,snapshot-best-050.pt,17.85,16.97,14.97,22.55,0.0,780
