model,step,losses/train.total_loss,losses/eval.total_loss
ResNet-50,1,0.0150033552199602,
ResNet-50,2,0.0130117256194353,
ResNet-50,3,0.0119174448773264,
ResNet-50,4,0.0108778197318315,
ResNet-50,5,0.0112401768565177,
ResNet-50,6,0.010732133872807,
ResNet-50,7,0.0106347510591149,
ResNet-50,8,0.0107265533879399,
ResNet-50,9,0.0101188346743583,
ResNet-50,10,0.0103199053555727,0.0116722285747528
ResNet-50,11,0.0096135716885328,
ResNet-50,12,0.0099167702719569,
ResNet-50,13,0.0100368838757276,
ResNet-50,14,0.0098959160968661,
ResNet-50,15,0.0098720444366335,
ResNet-50,16,0.0095784310251474,
ResNet-50,17,0.0093985050916671,
ResNet-50,18,0.0091083347797393,
ResNet-50,19,0.0097360108047723,
ResNet-50,20,0.0091911200433969,0.012106217443943
ResNet-50,21,0.0092816669493913,
ResNet-50,22,0.0087469108402729,
ResNet-50,23,0.0086672371253371,
ResNet-50,24,0.0089672747999429,
ResNet-50,25,0.0090228328481316,
ResNet-50,26,0.0098995510488748,
ResNet-50,27,0.0092534851282835,
ResNet-50,28,0.0081606116145849,
ResNet-50,29,0.0083927232772111,
ResNet-50,30,0.0086240069940686,0.0115353865548968
ResNet-50,31,0.0087862834334373,
ResNet-50,32,0.0083280857652425,
ResNet-50,33,0.0080060400068759,
ResNet-50,34,0.0084788175299763,
ResNet-50,35,0.0084219416603446,
ResNet-50,36,0.007993352599442,
ResNet-50,37,0.0084066409617662,
ResNet-50,38,0.0080985510721802,
ResNet-50,39,0.0082268808037042,
ResNet-50,40,0.0083128754049539,0.0111546320840716
ResNet-50,41,0.0083645656704902,
ResNet-50,42,0.0077710687182843,
ResNet-50,43,0.007761204149574,
ResNet-50,44,0.0078782606869935,
ResNet-50,45,0.0073344362899661,
ResNet-50,46,0.0077061587944626,
ResNet-50,47,0.0077139809727668,
ResNet-50,48,0.0080420318990945,
ResNet-50,49,0.0077535957098007,
ResNet-50,50,0.0080469008535146,0.0110678803175687
ResNet-50,51,0.0076857595704495,
ResNet-50,52,0.0074631408788263,
ResNet-50,53,0.0073962360620498,
ResNet-50,54,0.0073802610859274,
ResNet-50,55,0.0081446897238492,
ResNet-50,56,0.0081419553607702,
ResNet-50,57,0.0072820647619664,
ResNet-50,58,0.0075757903978228,
ResNet-50,59,0.0074630067683756,
ResNet-50,60,0.0076626255176961,0.0117114167660474
ResNet-50,61,0.0071414499543607,
ResNet-50,62,0.006929496768862,
ResNet-50,63,0.0078053087927401,
ResNet-50,64,0.0073487185873091,
ResNet-50,65,0.007246361579746,
ResNet-50,66,0.0074178650975227,
ResNet-50,67,0.007827203720808,
ResNet-50,68,0.0071685342118144,
ResNet-50,69,0.0072080283425748,
ResNet-50,70,0.0075897588394582,0.0112677523866295
ResNet-50,71,0.0073857097886502,
ResNet-50,72,0.0078740147873759,
ResNet-50,73,0.0072392239235341,
ResNet-50,74,0.0071647078730165,
ResNet-50,75,0.0077455355785787,
ResNet-50,76,0.0071367649361491,
ResNet-50,77,0.0077545442618429,
ResNet-50,78,0.0077226250432431,
ResNet-50,79,0.0070280670188367,
ResNet-50,80,0.0068699680268764,0.0120598133653402
ResNet-50,81,0.0062814438715577,
ResNet-50,82,0.0066468245349824,
ResNet-50,83,0.0066943513229489,
ResNet-50,84,0.0063891769386827,
ResNet-50,85,0.0063584358431398,
ResNet-50,86,0.0062089310958981,
ResNet-50,87,0.0061410805210471,
ResNet-50,88,0.0058423988521099,
ResNet-50,89,0.0060210977680981,
ResNet-50,90,0.0060250372625887,0.0115704601630568
ResNet-50,91,0.0061434181407094,
ResNet-50,92,0.0065425941720604,
ResNet-50,93,0.0060023395344614,
ResNet-50,94,0.0065327025949954,
ResNet-50,95,0.0059674535878002,
ResNet-50,96,0.005931185092777,
ResNet-50,97,0.006143954116851,
ResNet-50,98,0.0059385700151324,
ResNet-50,99,0.0054987170733511,
ResNet-50,100,0.0058166407980024,0.0115611497312784
HRNet-W32,1,0.0147419776767492,
HRNet-W32,2,0.0131469368934631,
HRNet-W32,3,0.0127805741503834,
HRNet-W32,4,0.0115146785974502,
HRNet-W32,5,0.0105729168280959,
HRNet-W32,6,0.010494252666831,
HRNet-W32,7,0.0098652094602584,
HRNet-W32,8,0.0093309339135885,
HRNet-W32,9,0.0098481168970465,
HRNet-W32,10,0.0091826943680644,0.011699004098773
HRNet-W32,11,0.0087589118629693,
HRNet-W32,12,0.0090913828462362,
HRNet-W32,13,0.0090910885483026,
HRNet-W32,14,0.0087729282677173,
HRNet-W32,15,0.0089129209518432,
HRNet-W32,16,0.0088656041771173,
HRNet-W32,17,0.0086353765800595,
HRNet-W32,18,0.0087390812113881,
HRNet-W32,19,0.0085908882319927,
