start_s,end_s,n_frames,min_pupil_likelihood,min_eye_opening_px,max_pupil_area_px2,low_confidence,likely_blink
1.28,2.28,61,0.696,245.2,49829.0,False,False
2.6,3.27,41,0.605,235.6,49745.0,False,False
4.47,4.52,4,0.704,264.0,46359.0,False,False
4.87,5.73,53,0.441,220.7,44635.0,True,True
8.47,8.95,30,0.697,250.8,48259.0,False,False
11.02,11.1,6,0.654,273.8,50462.0,False,False
11.58,11.68,7,0.684,258.0,46610.0,False,False
13.85,14.42,35,0.558,238.9,47416.0,True,True
15.18,15.33,10,0.694,256.2,46921.0,False,False
16.95,17.38,27,0.651,253.8,47654.0,False,False
17.65,17.67,2,0.738,268.3,47963.0,False,False
18.4,18.87,29,0.553,249.7,46837.0,True,False
20.63,20.77,9,0.716,259.0,48211.0,False,False
22.18,22.63,28,0.546,253.8,46429.0,True,False
24.75,24.78,3,0.694,258.1,46307.0,False,False
26.72,26.93,14,0.625,237.9,44258.0,False,False
30.33,30.6,17,0.707,252.7,46807.0,False,False
32.08,32.45,23,0.723,257.5,48695.0,False,False
35.1,35.37,17,0.611,232.3,43823.0,False,False
37.82,38.07,16,0.735,250.3,43823.0,False,False
40.78,40.9,8,0.598,252.5,42231.0,True,False
41.95,42.15,13,0.504,270.2,47962.0,True,False
43.73,43.88,10,0.663,253.9,45638.0,False,False
45.35,45.63,18,0.665,247.5,45482.0,False,False
47.02,47.22,13,0.715,253.0,45254.0,False,False
47.9,48.0,7,0.654,259.4,46059.0,False,False
49.67,49.95,18,0.747,255.5,47612.0,False,False
50.63,50.93,19,0.73,258.2,47738.0,False,False
52.52,53.02,31,0.609,243.1,48488.0,False,False
54.28,54.43,10,0.761,259.3,48494.0,False,False
58.48,58.62,9,0.695,260.9,48392.0,False,False
58.98,59.08,7,0.753,271.1,51932.0,False,False
60.15,60.95,49,0.751,263.7,53102.0,False,False
63.7,63.78,6,0.78,259.4,47972.0,False,False
66.48,66.77,18,0.714,254.9,48511.0,False,False
67.67,67.68,2,0.664,267.5,47651.0,False,False
71.47,71.73,17,0.692,263.9,51966.0,False,False
73.23,73.4,11,0.714,260.9,47086.0,False,False
74.88,75.15,17,0.726,244.7,46589.0,False,False
77.27,77.33,5,0.745,256.6,47318.0,False,False
81.92,82.33,26,0.738,248.6,49437.0,False,False
84.3,84.68,24,0.721,241.2,47057.0,False,False
85.08,85.27,12,0.662,246.9,46317.0,False,False
86.98,87.72,45,0.732,260.4,53714.0,False,False
88.6,88.85,16,0.77,265.9,53102.0,False,False
89.15,89.55,25,0.671,248.4,48515.0,False,False
90.07,90.08,2,0.765,265.8,53666.0,False,False
92.12,92.35,15,0.691,255.7,47229.0,False,False
95.02,95.3,18,0.63,245.1,47788.0,False,False
96.47,97.27,49,0.32,191.1,47729.0,True,True
101.48,101.88,25,0.699,242.2,45724.0,False,False
104.0,104.15,10,0.704,246.8,43884.0,False,False
108.35,108.62,17,0.643,244.6,42746.0,False,False
109.28,109.52,15,0.6,256.9,45243.0,True,False
109.82,110.9,66,0.671,266.1,51679.0,False,False
111.3,111.32,2,0.734,281.1,53190.0,False,False
111.58,112.02,27,0.753,280.8,53535.0,False,False
112.72,112.9,12,0.713,274.2,54206.0,False,False
113.25,113.48,15,0.752,279.7,54980.0,False,False
114.5,114.9,25,0.693,260.1,51905.0,False,False
116.38,116.57,12,0.674,254.5,50136.0,False,False
120.03,120.07,3,0.702,262.2,48916.0,False,False
121.63,122.33,43,0.497,237.7,52334.0,True,True
122.82,123.38,35,0.708,250.5,53596.0,False,False
124.55,125.65,67,0.732,253.6,52091.0,False,False
126.07,126.18,8,0.769,265.6,51633.0,False,False
126.67,127.08,26,0.757,251.2,51417.0,False,False
131.32,131.33,2,0.766,266.6,51537.0,False,False
132.55,132.62,5,0.704,257.4,48350.0,False,False
134.12,134.42,19,0.757,258.0,48079.0,False,False
134.8,134.97,11,0.732,269.7,52832.0,False,False
135.32,135.68,23,0.78,279.5,54424.0,False,False
136.73,136.85,8,0.737,256.3,47923.0,False,False
139.1,139.13,3,0.78,272.4,54499.0,False,False
139.42,139.52,7,0.8,271.1,53562.0,False,False
140.28,142.8,152,0.701,258.7,52807.0,False,False
143.63,143.65,2,0.773,262.8,48482.0,False,False
144.3,144.62,20,0.757,258.8,50924.0,False,False
144.93,145.28,22,0.71,266.1,51949.0,False,False
147.13,148.07,57,0.7,258.5,52425.0,False,False
148.52,148.63,8,0.794,282.7,52605.0,False,False
148.92,150.08,71,0.647,274.0,55853.0,False,False
150.42,150.42,1,0.786,286.8,56260.0,False,False
151.45,151.5,4,0.771,283.7,52801.0,False,False
152.08,152.23,10,0.684,287.1,53433.0,False,False
152.73,152.95,14,0.764,289.8,55771.0,False,False
153.55,153.85,19,0.786,287.4,55592.0,False,False
154.18,154.28,7,0.745,280.8,52156.0,False,False
154.7,154.87,11,0.766,281.8,55430.0,False,False
155.37,155.9,33,0.776,276.1,54132.0,False,False
160.15,160.85,43,0.305,175.7,47392.0,True,True
167.58,167.63,4,0.76,256.8,46214.0,False,False
177.15,177.62,29,0.717,256.4,44850.0,False,False
183.67,184.32,40,0.688,250.9,47122.0,False,False
185.05,185.72,41,0.659,270.5,53411.0,False,False
186.07,186.1,3,0.778,274.8,50475.0,False,False
186.48,187.27,48,0.495,221.3,51910.0,True,True
188.72,188.83,8,0.764,263.4,51937.0,False,False
190.6,190.6,1,0.739,269.4,51045.0,False,False
191.93,193.08,70,0.14,200.5,61892.0,True,True
195.33,195.57,15,0.713,243.9,44491.0,False,False
196.62,196.65,3,0.768,255.8,46476.0,False,False
197.02,197.25,15,0.694,242.6,43765.0,False,False
204.75,204.93,12,0.743,246.2,41587.0,False,False
208.5,208.67,11,0.689,242.4,43139.0,False,False
209.0,209.53,33,0.607,228.8,45183.0,False,False
217.33,217.65,20,0.709,249.1,45982.0,False,False
218.37,218.58,14,0.721,257.6,49473.0,False,False
219.08,219.08,1,0.78,263.2,49278.0,False,False
219.37,219.37,1,0.761,264.6,49305.0,False,False
219.75,219.75,1,0.813,261.5,50324.0,False,False
220.05,220.1,4,0.815,259.3,48527.0,False,False
220.38,220.38,1,0.828,259.1,48575.0,False,False
225.3,225.3,1,0.818,261.3,47263.0,False,False
225.98,227.22,75,0.713,262.7,53453.0,False,False
227.9,228.7,49,0.573,245.9,51989.0,True,True
229.5,230.03,33,0.756,267.1,52576.0,False,False
230.45,231.08,39,0.738,257.9,51856.0,False,False
231.67,232.75,66,0.756,255.9,53074.0,False,False
233.05,234.03,60,0.275,182.2,49884.0,True,True
