model,shuffle,snapshot_epoch,is_internal_rule_choice,is_fixed_epoch,internal_mAP_percent,internal_rmse_px,internal_valid_loss,evaluation_label,external_overall_keypoint_rmse_px,external_pupil_center_rmse_px,external_pupil_width_mae_px,external_points_likelihood_ge_0_6,external_fraction_likelihood_ge_0_6
HRNet-W18,10,40,True,False,98.01980198019804,12.765338134765624,0.0084578413516283,arch_hrnet_w18_batch2,31.251485939492504,11.969722041392822,31.410844750094768,0,0.0
HRNet-W18,10,100,False,False,98.01980198019804,12.148052215576172,0.0082534719258546,matrix_hrnet_w18_ep100,34.6408103491925,18.158182586539827,24.072237439478435,26,0.0325
HRNet-W18,10,125,False,False,,,,matrix_hrnet_w18_ep125,34.83830530143255,11.496711167077436,20.689475164224117,112,0.14
HRNet-W18,10,150,False,False,96.03960396039604,15.294113159179688,0.0098080364987254,matrix_hrnet_w18_ep150,23.782220647573247,13.51062883479208,22.218572748152617,123,0.15375
HRNet-W18,10,175,False,False,,,,matrix_hrnet_w18_ep175,39.75620711065754,10.322540368204312,22.188738113462342,88,0.11
HRNet-W18,10,200,False,True,93.66336633663369,14.671160888671874,0.0094403401017189,matrix_hrnet_w18_ep200,35.02254270751272,10.583101195131835,20.53211915985272,86,0.1075
HRNet-W32,6,90,True,False,100.0,13.021759033203123,0.0087790749967098,hrnet_w32_batch2,20.057752735032963,9.5294579291583,20.112968495558036,59,0.07375
HRNet-W32,6,100,False,False,96.03960396039604,15.1627685546875,0.0093752164393663,matrix_hrnet_w32_ep100,19.893037416230765,10.52353138861066,19.675289553767197,276,0.345
HRNet-W32,6,125,False,False,,,,matrix_hrnet_w32_ep125,25.482077712291595,12.181290753981015,18.489967415307294,252,0.315
HRNet-W32,6,150,False,False,98.01980198019804,15.344613647460935,0.0099974628537893,matrix_hrnet_w32_ep150,21.344002458413502,11.420651400772377,26.34030341180382,479,0.59875
HRNet-W32,6,175,False,False,,,,matrix_hrnet_w32_ep175,20.42147242197791,11.79821274223042,26.30120206259029,640,0.8
HRNet-W32,6,200,False,True,97.62376237623762,14.8033203125,0.0107962386682629,matrix_hrnet_w32_ep200,20.72256071442851,11.660250484742033,27.01210122689019,650,0.8125
HRNet-W48,13,100,False,False,97.62376237623762,14.443630981445311,0.0101914554834365,matrix_hrnet_w48_ep100,24.64824284063717,11.87011400550885,24.390952537313627,204,0.255
HRNet-W48,13,125,False,False,,,,matrix_hrnet_w48_ep125,37.787690006565576,13.038494589545817,29.331240134080613,346,0.4325
HRNet-W48,13,150,False,False,96.83168316831684,13.350193786621094,0.0102420430630445,matrix_hrnet_w48_ep150,37.33735799809837,18.531752478869556,23.87778144804763,465,0.58125
HRNet-W48,13,175,False,False,,,,matrix_hrnet_w48_ep175,30.608329697185063,12.31985695670385,27.9705978306043,630,0.7875
HRNet-W48,13,200,False,True,97.62376237623762,13.794587707519533,0.0107522513717412,matrix_hrnet_w48_ep200,21.740535421209103,12.365035120644892,28.20913172893256,662,0.8275
ResNet-50,11,20,True,False,98.01980198019804,13.241107177734374,0.0090777110308408,arch_resnet_50_batch2,28.599626630524767,14.747771806087709,32.21922906654665,40,0.05
ResNet-50,11,100,False,False,97.22772277227722,12.573043823242188,0.0081440908834338,matrix_resnet_50_ep100,18.848296179110392,9.894937610168446,21.253621201389183,334,0.4175
ResNet-50,11,125,False,False,,,,matrix_resnet_50_ep125,19.655403454404123,10.95215522187098,21.69546235125728,362,0.4525
ResNet-50,11,150,False,False,98.01980198019804,12.65737075805664,0.0089492052793502,matrix_resnet_50_ep150,19.76656738998231,10.958653209242623,22.151189289905577,346,0.4325
ResNet-50,11,175,False,False,,,,matrix_resnet_50_ep175,20.7875919072748,11.883458592363729,24.03853499758908,334,0.4175
ResNet-50,11,200,False,True,98.01980198019804,12.650286865234374,0.0088723022490739,matrix_resnet_50_ep200,23.28950831433082,13.848974348023544,28.12473306008733,358,0.4475
CSPNeXt-S,14,10,True,False,98.01980198019804,14.361531066894532,0.010791890323162,arch_cspnext_s_batch2,70.12489407657245,33.208579200943674,29.39732749902178,1,0.00125
CSPNeXt-S,14,100,False,False,98.01980198019804,11.299319458007812,0.0079580005258321,matrix_cspnext_s_ep100,25.973054750445737,16.417357032977314,21.224463735021928,35,0.04375
CSPNeXt-S,14,125,False,False,,,,matrix_cspnext_s_ep125,25.85135027159181,16.246851798508548,18.29272908097864,61,0.07625
CSPNeXt-S,14,150,False,False,98.01980198019804,11.843413543701171,0.0080945948138833,matrix_cspnext_s_ep150,25.722943811458286,16.42452650036176,18.520840067868537,71,0.08875
CSPNeXt-S,14,175,False,False,,,,matrix_cspnext_s_ep175,25.827515197923148,16.329019613432912,20.910353797192816,47,0.05875
CSPNeXt-S,14,200,False,True,98.01980198019804,11.98221435546875,0.008000242523849,matrix_cspnext_s_ep200,25.725044010733335,16.330432404071715,19.12591669656879,46,0.0575
