start_s,end_s,n_frames,min_pupil_likelihood,min_eye_opening_px,max_pupil_area_px2,low_confidence,likely_blink
1.28,2.3,62,0.657,240.5,49863.0,False,False
2.68,3.55,53,0.292,147.4,48146.0,True,True
4.87,5.6,45,0.388,143.6,42627.0,True,True
8.45,8.73,18,0.676,247.4,47911.0,False,False
10.92,11.68,47,0.664,255.5,52319.0,False,False
13.85,14.42,35,0.588,235.1,46507.0,True,True
15.17,15.33,11,0.681,252.6,46284.0,False,False
16.95,17.38,27,0.578,251.4,47267.0,True,False
18.4,18.87,29,0.427,246.7,46805.0,True,False
20.63,20.87,15,0.45,258.1,48368.0,True,False
22.2,22.67,29,0.262,253.1,45890.0,True,False
23.03,23.03,1,0.777,263.4,48037.0,False,False
24.57,24.78,14,0.746,257.1,47480.0,False,False
26.65,27.0,22,0.361,233.0,46075.0,True,True
30.33,30.62,18,0.473,249.0,46385.0,True,False
32.0,33.83,111,0.443,253.3,48949.0,True,False
35.1,35.38,18,0.623,226.7,42734.0,False,False
38.0,38.12,8,0.583,248.9,42737.0,True,False
40.37,41.2,51,0.476,250.4,43849.0,True,False
41.88,42.15,17,0.594,265.3,49628.0,True,False
43.7,43.93,15,0.698,249.2,47257.0,False,False
45.35,45.57,14,0.321,242.3,45728.0,True,True
46.9,47.12,14,0.729,247.3,47045.0,False,False
47.93,47.95,2,0.245,255.6,45476.0,True,False
49.68,49.97,18,0.734,251.5,45907.0,False,False
50.63,50.92,18,0.717,255.0,47949.0,False,False
52.52,53.23,44,0.53,239.6,49559.0,True,True
54.08,54.45,23,0.578,255.7,50636.0,True,False
55.02,55.17,10,0.569,260.4,49605.0,True,False
55.45,55.45,1,0.592,260.1,48941.0,True,False
58.48,58.62,9,0.398,255.5,49454.0,True,False
58.98,59.08,7,0.548,269.5,52575.0,True,False
59.98,60.95,59,0.511,258.1,52434.0,True,False
62.27,62.55,18,0.652,262.1,50667.0,False,False
63.7,63.97,17,0.73,257.0,49316.0,False,False
64.65,64.65,1,0.816,267.9,49068.0,False,False
66.43,66.77,21,0.684,254.0,49527.0,False,False
67.68,67.68,1,0.796,266.8,48146.0,False,False
71.45,71.87,26,0.642,260.6,52327.0,False,False
73.23,73.47,15,0.775,259.6,47746.0,False,False
74.88,75.13,16,0.655,242.3,46094.0,False,False
77.27,77.33,5,0.778,254.3,46900.0,False,False
81.92,82.32,25,0.546,245.0,50559.0,True,True
84.3,84.58,18,0.807,238.6,45249.0,False,False
85.08,85.27,12,0.812,243.9,45255.0,False,False
86.98,87.35,23,0.652,256.8,53471.0,False,False
88.77,88.77,1,0.579,264.1,49328.0,True,False
89.2,89.95,46,0.556,242.4,52289.0,True,True
90.78,91.03,16,0.598,260.6,49958.0,True,False
92.1,92.32,14,0.758,251.2,47127.0,False,False
93.08,93.08,1,0.596,260.0,46984.0,True,False
93.9,95.23,81,0.182,240.6,48911.0,True,True
96.47,97.22,46,0.379,193.2,60262.0,True,True
100.03,100.25,14,0.733,244.7,46152.0,False,False
101.48,101.88,25,0.806,239.2,44976.0,False,False
103.35,103.6,16,0.486,243.0,41713.0,True,True
104.07,104.1,3,0.801,243.9,42707.0,False,False
108.35,111.3,178,0.356,240.0,52690.0,True,True
111.58,111.58,1,0.662,282.5,53183.0,False,False
112.42,113.13,44,0.579,269.2,55243.0,True,False
114.48,114.73,16,0.669,258.3,51770.0,False,False
116.38,116.52,9,0.799,250.1,50187.0,False,False
118.93,118.93,1,0.595,264.8,51574.0,True,False
120.03,120.12,6,0.735,261.8,49376.0,False,False
121.63,123.35,104,0.479,238.3,53595.0,True,True
124.55,125.18,39,0.522,248.3,52354.0,True,False
125.6,126.37,47,0.473,260.9,52545.0,True,False
126.63,127.1,29,0.45,247.1,51723.0,True,False
128.27,128.45,12,0.587,260.0,49713.0,True,False
129.17,129.52,22,0.538,259.6,49404.0,True,False
132.55,132.67,8,0.748,253.7,48735.0,False,False
134.12,134.57,28,0.746,255.4,50053.0,False,False
134.9,134.97,5,0.715,263.8,50836.0,False,False
135.48,135.65,11,0.672,280.2,56627.0,False,False
136.38,136.42,3,0.615,272.4,55147.0,False,False
136.7,136.87,11,0.634,251.7,48282.0,False,False
137.32,137.35,3,0.647,270.0,54350.0,False,False
138.08,138.23,10,0.549,274.4,52406.0,True,False
139.05,142.03,180,0.472,255.1,54928.0,True,False
142.35,142.72,23,0.535,259.5,51868.0,True,False
142.98,143.28,19,0.507,258.7,51180.0,True,False
